mid tmt time censored
1 1 12 0
2 1 1 0
3 1 21 0
4 1 25 0
5 1 11 0
6 1 26 0
7 1 27 0
8 1 30 0
9 1 13 0
10 1 12 0
11 1 21 0
12 1 20 0
13 1 23 0
14 1 25 0
15 1 23 0
16 1 29 0
17 1 35 0
18 1 NA 40
19 1 31 0
20 1 36 0
21 2 32 0
22 2 27 0
23 2 23 0
24 2 12 0
25 2 18 0
26 2 NA 40
27 2 NA 40
28 2 38 0
29 2 29 0
30 2 30 0
31 2 NA 40
32 2 32 0
33 2 NA 40
34 2 NA 40
35 2 NA 40
36 2 NA 40
37 2 25 0
38 2 30 0
39 2 37 0
40 2 27 0
41 3 22 0
42 3 26 0
43 3 NA 10
44 3 28 0
45 3 19 0
46 3 15 0
47 3 12 0
48 3 35 0
49 3 35 0
50 3 10 0
51 3 22 0
52 3 18 0
53 3 NA 24
54 3 12 0
55 3 NA 40
56 3 NA 40
57 3 31 0
58 3 24 0
59 3 37 0
60 3 29 0
61 4 27 0
62 4 18 0
63 4 22 0
64 4 13 0
65 4 18 0
66 4 29 0
67 4 28 0
68 4 NA 20
69 4 16 0
70 4 22 0
71 4 26 0
72 4 19 0
73 4 NA 29
74 4 NA 10
75 4 17 0
76 4 28 0
77 4 26 0
78 4 12 0
79 4 17 0
80 4 26 0


